b'basic information',b'description'
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/29/2017 21:00  (Entered as : 01-29-17 21:00)<BR>Reported: 1/29/2017 7:21:20 PM 19:21<BR>Posted: 2/3/2017<BR>Location: Layton, UT<BR>Shape: Other<BR>Duration:15 minutes</FONT></TD>'","b""COLOR=#000000>The way the lights put a certain beam off was nothing I\\'ve seen before!!.  I would be glad to draw a picture if possible.<BR><BR>Was returning home from taking red box movies back and I seen thus weird light in sky and it was looking normal until I noticed the way the lights we\\'re beaming in a half circle in front or behind whatever the object was.  I never seen something so strange.  My fiance told me I was seeing stuff because I tell her I seen weird objects all the time over here by HILL FIELD BASE BUT THIS WAS DIFFERENT.  IT STARTED TO DO WEIRD SHAPE FORMATIONS AS IF IT WAS UNDER WATER AND I NEVER SEEN ANYTHING IN OUR KNOWN FLY TECHNOLIGY DO WHAT I SEEN AT THE SPEEDS OR AT HOW QUICK IT WAS.  IT WAS NOT NORMAL.  THEN THE CLOSE I GOT HOME THE QUICKER IT GOT AWAY STILL DOING INFINITY SIGN FORMATIONS.<BR><BR></FONT></TD>"""
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/29/2017 20:15  (Entered as : 01/29/2017 20:15)<BR>Reported: 1/30/2017 7:26:22 PM 19:26<BR>Posted: 2/3/2017<BR>Location: Hurricane, UT<BR>Shape: Light<BR>Duration:10 minutes</FONT></TD>'","b'COLOR=#000000>Two hovering red lights above Hurricane/LaVerkin, Utah; one slowly moved north and faded out and the other south fading out.<BR><BR>I went outside to take the garbage out and looked straight up and slightly to the north. There were two red lights that were a steady glow (not blinking and without shape other than looking like a star).  They were hovering together.  <BR><BR>After a few minutes the one on the right slowly moved North and faded out about 10 seconds after moving, and the one on the left slowly moved South and faded out about 15 seconds after moving from the hovering location.  <BR><BR>My wife came out in time to see the one moving South.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/29/2017 20:00  (Entered as : 1/29/17 20:00)<BR>Reported: 2/20/2017 6:40:16 AM 06:40<BR>Posted: 2/22/2017<BR>Location: Powell, TN<BR>Shape: Sphere<BR>Duration:20 minutes</FONT></TD>'","b""COLOR=#000000>Large orbs seen over toxic waste dump site in Powell, TN.<BR><BR>50\\' diameter light colored orbs moved in circles as well as rose and went down behind the ridge line.  The area they were over is near I-75 where there is an old chemical waste dump site near Dante Rd. and Central Ave.  We drove around the area to try and locate a source, none were found.  The car radio signal was broken up, and cleared up as we left the area.  Some remained still as others moved about in a very clear area over the ridge,there was no sound noticed,at one point a single object appeared for a very short time 20 to 30 seconds.  A larger round red object with white lights ringing the edge appeared several hundred feet to the north, it disappeared as quickly as it had appeared, it did not move during the time it was seen and appeared to be the same size as the others with a different shape do to the ring of white lights which gave it a saucer type appearance.  The night was clear and the objects were in plain sight and very clear in definition</FONT></TD>"""
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/29/2017 19:35  (Entered as : 01/29/2017 19:35)<BR>Reported: 1/29/2017 6:46:31 PM 18:46<BR>Posted: 2/3/2017<BR>Location: Bountiful, UT<BR>Shape: Light<BR>Duration:20 minutes</FONT></TD>'","b'COLOR=#000000>Bright light - minimal movement.  Too high to be a helicopter. No known planes or stars in the area.<BR><BR>In the dark of night we saw a light in the western region of the valley. We thought it was a helicopter.  However, it was too high and too stationary for it to be a helicopter.  We looked up flights in the area as well as star charts and could not find an explanation.  However, we do notice that it is moving minimally very minimally side to side.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/29/2017 19:30  (Entered as : 01/29/17 19:30)<BR>Reported: 1/29/2017 5:33:10 PM 17:33<BR>Posted: 2/3/2017<BR>Location: Saint Petersburg, FL<BR>Shape: Sphere<BR>Duration:30 minutes</FONT></TD>'","b'COLOR=#000000>I was sitting on my porch smoking a cigarette when i saw a red orange ball of light moving eastward.  The ball of light had no blinking lights, which immediately raised a red flag in my mind.  It slowly flickered out and then disappeared behind the clouds.  Once it disappeared, another rose from the west and followed almost the exact same trajectory.  This one disappearing in a section of the clear sky.  I called my family outside to show them as one by one they came out of the west only to disappear.  This happened a total of seven times before it stopped</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/29/2017 19:15  (Entered as : 01292017 19:15)<BR>Reported: 1/29/2017 6:53:18 PM 18:53<BR>Posted: 2/3/2017<BR>Location: Walden, NY<BR>Shape: Formation<BR>Duration:10 minutes</FONT></TD>'","b'COLOR=#000000>many orange lights in the sky<BR><BR>There were many orange lights scattered in the sky,  when they were first noticed they seemed to form a giant somewhat circle in the sky.  The formation scattered with less of the orange lights.  The orange lights were just floating in place, becoming less and less.  Then finally the orange lights looked to form a perfect triangle and then disappeared.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/29/2017 19:00  (Entered as : 01/29/2017 19:00)<BR>Reported: 2/4/2017 7:54:41 AM 07:54<BR>Posted: 2/10/2017<BR>Location: Cohasset, MN<BR>Shape: Oval<BR>Duration:5 minutes</FONT></TD>'","b'COLOR=#000000>Stationary, very bright light during clear, dark evening sky, northern Minnesota.<BR><BR>A very bright light, stationary in the NW sky, then became an array of odd lights.  Got binoculars and it eventually faded like it was moving away.  Visual episode was about 5 minutes.  No sound.<BR><BR><BR>((NUFORC Note:  Venus??  PD))</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/29/2017 18:47  (Entered as : 01/29/2017 6:47)<BR>Reported: 1/29/2017 3:56:46 PM 15:56<BR>Posted: 2/3/2017<BR>Location: Atlanta, GA<BR>Shape: Light<BR>Duration:45-60 seconds</FONT></TD>'","b'COLOR=#000000>Saw one bright white light while grilling dinner move from SW-NE possibly bright white.  <BR><BR>I immediately called kids outside, to see the Space Station, but realized this was much lower maybe 10K feet?  There were no other lights.  Even my eight year old daughter said its only bright white not another color to be seen for duration.<BR><BR>I have heard you for years on shows to say to report these as we see them, and I have usually not done so, but now that time has passed.<BR><BR><BR>((NUFORC Note:  ISS.  PD))</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/29/2017 18:40  (Entered as : 01/29/17 18:40)<BR>Reported: 1/29/2017 7:00:14 PM 19:00<BR>Posted: 2/3/2017<BR>Location: Merrimack, NH<BR>Shape: Light<BR>Duration:10 seconds</FONT></TD>'","b'COLOR=#000000>3 lights in sky near FAA control center for North East corrder USA<BR><BR>Driving on Contenental Blvd towards Rt. 101a saw 3 lights above tree line Approx 40 degrees in sky between Saint John Neumann Church and PC Connection.  for approx 10 sec .  is there anyway to check FAA during this time frame?  FYI, FAA control center for North East Corrder loc approx 5 miles away in Nashua, NH?</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/29/2017 18:00  (Entered as : 1/29/17 18:00)<BR>Reported: 1/29/2017 4:45:08 PM 16:45<BR>Posted: 2/3/2017<BR>Location: Clio, AL<BR>Shape: Light<BR>Duration:1 minute</FONT></TD>'","b""COLOR=#000000>Me and a friend witnessed a ball of light moving intelligently before suddenly vanishing.<BR><BR>It was close to sundown, no stars out as it was still just a little too bright. I noticed what I at first assumed to be the \\'North Star\\' next to a cellphone tower, moving rapidly down.  I told my friend who was driving to stop the car, and she pulled over.  We watched it lazily keep moving down, assuming it was helicopter.  We couldn\\'t hear any noises, and noticed the lack of other lights and an outline.  It moved to the left, grew brighter and then disappeared.</FONT></TD>"""
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/29/2017 15:00  (Entered as : jJan 29 17 15:00)<BR>Reported: 1/29/2017 3:23:20 PM 15:23<BR>Posted: 2/3/2017<BR>Location: Albuquerque, NM<BR>Shape: Other<BR>Duration:40 minutes</FONT></TD>'",b'COLOR=#000000>Starlike shimmering moved very slowly east by southeast very tiny hard to re-focus after losing sight this sighting was in the daytime.</FONT></TD>'
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/29/2017 14:10  (Entered as : 01/29/2017 14:10)<BR>Reported: 1/30/2017 8:12:48 AM 08:12<BR>Posted: 2/3/2017<BR>Location: Oceanside, CA<BR>Shape: Circle<BR>Duration:45 seconds</FONT></TD>'","b""COLOR=#000000>Circular floating metalic ball over Oceanside, CA.<BR><BR>Noticed a metallic looking object floating in the sky, heading east from west, clear blue sky, little bit of wind, maybe 1000 feet high guesstimate, maybe 10 feet wide guesstimate.  No sound or fumes.  It could be a Mylar Balloon floating but not sure, and don\\'t think so, so took a couple of pics.  Object drifted behind the big tree, then never reappeared. Strange.<BR><BR>My wife and I have also seen many lights in the night sky over the past month.  Some are a brilliant flash of light, size of a distant star.  Some flash 3 times and then disappear. This is all happening over southern California, near Marine base, Camp Pendelton, Oceanside.</FONT></TD>"""
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/29/2017 10:34  (Entered as : 01/29/17 10:34)<BR>Reported: 1/29/2017 5:21:00 PM 17:21<BR>Posted: 2/3/2017<BR>Location: Studio City, CA<BR>Shape: Light<BR>Duration:3 minutes</FONT></TD>'","b'COLOR=#000000>Two erratic bright white lights seen in Southern California daytime sky<BR><BR>My wife and I were having breakfast at a bagel shop at 12914 Ventura Blvd this morning. We were seated outside, and near the end of our meal, I glanced around the sky.  It was such a beautiful and clear Southern California day, especially after the recent storms in the area.  While looking around, I noticed a twinkling white light to the north, about the same height in the sky as the top of a street light pole on Ventura Blvd from where we were seated. I first thought that it was a very bright and early star, but the twinkling was too bright to the naked eye, and I immediately observed very slow movement.  My next thought was a potential satellite sighting, but no straight flight path existed &#8212; movement was somewhat erratic, though slow at times.  This was easily confirmed due to the light&#8217;s position just to the right of the street light pole, which allowed me a point of reference in the sky.<BR><BR>The light was far too high, to my observation, to be commercial aircraft (best guess was 150,000ft or more) &#8212; it was too erratic and slow for a satellite path, and it also didn&#8217;t appear to be any type of rocket (to my knowledge) due to it&#8217;s start-stop movement.  The emitting of light (or glinting of sunlight off of the object, which was another thought) also had no pattern and seemed to be random, almost as if the object was spinning about &#8212; at times it became so dim to the point that I&#8217;d thought it disappeared, then it would randomly shine bright seconds later, as bright as a star in the early evening or early morning sky.  The level of brightness was observed changing drastically without obstruction as the light slowly pinged about the clear blue sky.<BR><BR>A second white light holding the same characteristics was also observed momentarily, further up in the sky and to the left of the first light I fixated upon.  To confirm, my wife and I both observed these objects and all of the mentioned movements/lights.  The only further detail I observed on the main light was the emission of tiny, nearly invisible, red lights &#8212; these seemed to be ejected from the object and quickly disappeared into the blue of the sky.  This detail was very hard for me to see, but I know that I did observe this.<BR><BR>I captured iPhone video of this sighting, and upon review later in the day, both white lights (along with their visual characteristics and movements) can be clearly seen in the footage.  This entire event lasted over 3 minutes.  I captured over 2 1/2 minutes of footage, but I did have to stop recording because we had to get going about our business.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/29/2017 03:00  (Entered as : 01/29/17 3:00)<BR>Reported: 1/29/2017 12:38:21 AM 00:38<BR>Posted: 2/3/2017<BR>Location: Tewksbury, MA<BR>Shape: Unknown<BR>Duration:30</FONT></TD>'","b""COLOR=#000000>A loud pulsating sound of low tone/pitch woke me up at approximately 3:00AM EST.  The sound seemed to get closer and further away at random intervals.  I\\'ve never heard a sound like this before.  This did not sound like a combustion motor or any other motor I have heard.  I tried to see if I could see anything in the sky but could not.</FONT></TD>"""
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/28/2017 23:54  (Entered as : 01/28/17 23:54)<BR>Reported: 1/28/2017 11:05:00 PM 23:05<BR>Posted: 2/3/2017<BR>Location: Tucson, AZ<BR>Shape: Circle<BR>Duration:1 seconds</FONT></TD>'","b'COLOR=#000000>Ball of light through sky<BR><BR>Round ball of light streaked through sky.  Greenish, real color.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/28/2017 23:30  (Entered as : 01/28/17 23:30)<BR>Reported: 1/28/2017 9:06:02 PM 21:06<BR>Posted: 2/3/2017<BR>Location: Greenville, NC<BR>Shape: Circle<BR>Duration:10-20 minutes</FONT></TD>'","b""COLOR=#000000>bright small red orb. disapearing and floating acts. very precisioned and accurate flying. not a drone.<BR><BR>At first I saw a bright red orb float directly upward then disappear.  Then it came back into site and floated downward.  Then it appeared somewhere else and disappeared and then came back to wear it was.  I haven\\'t been watching the sky nonstop but I have been checking occasionaly and I have not seen it again.  This happened about half an hour ago, so I guess it stopped.<BR><BR><BR>((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))</FONT></TD>"""
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/28/2017 23:30  (Entered as : 01/28/17 23:30)<BR>Reported: 1/29/2017 12:52:54 PM 12:52<BR>Posted: 2/3/2017<BR>Location: Trinity, NC<BR>Shape: Teardrop<BR>Duration:3 hours+</FONT></TD>'","b'COLOR=#000000>4 teardrop-shaped white lights in a row with smaller pulsating colored lights.<BR><BR>2 pairs of bright white vertical teardrops, each pair separated but in sync.<BR><BR>Small pulsating red, green, blue and yellow lights.<BR><BR>Seemed to be stationary in NE sky about 45 degrees above horizon.  Traveled in sync with stars and crossed the sky in a three hour period.  Managed to take some low-quality photos.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/28/2017 23:00  (Entered as : 01/28/17 23:00)<BR>Reported: 1/29/2017 12:32:55 AM 00:32<BR>Posted: 2/3/2017<BR>Location: Canberra (Australia), <BR>Shape: Flash<BR>Duration:1 second</FONT></TD>'","b'COLOR=#000000>My daughter and I where observing the Pleiades star cluster last night at 23:00, when was a bright light appeared, brighten to the luminosity of a meteorite, then faded to disappeared within one second.  It was almost like a meteorite was coming directly to us which is possible but highly unlikely.<BR><BR>I am an avid night sky observer and was using a Nikon 10X50 60 degree binoculars last night to observe various star constellations in our southern Australian sky.  For instance, I have observed the International Space Station about 30 times, so I am familiar with the brightness and movement of the ISS.  The object I observed last night did not move or have a trail like a meteorite.<BR><BR>My daughter was observing the Pleiades star cluster and noticed the bright light appearing and disappearing as well.<BR><BR>I would be interested if anyone else observed this object here in Australia.<BR><BR>Thanks for your effort tracking these observations.<BR><BR><BR>((NUFORC Note:  Possible flare of an Iridium satellite.  PD))</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/28/2017 23:00  (Entered as : 01/28/2017 23:00)<BR>Reported: 1/30/2017 7:39:48 PM 19:39<BR>Posted: 2/3/2017<BR>Location: Grover, FL<BR>Shape: Disk<BR>Duration:5 minutes</FONT></TD>'","b'COLOR=#000000>Two eye shaped disks with 3 round lights seen between mountains driving South West on 85 near Grover NC<BR><BR>See attached photo taken from driver seat looking straight ahead on road.  See what looks like two slim eye shaped disks with three round lights lined across their length.  They were lit up in between the two mountains driving past Atkins Rd Grover NC on Route 85 South West towards Spartansburg/Gaffney, SC, 27 minutes away.  <BR><BR>Time and stats taken from camera.  Driver took photo--thought could be moonlight between clouds and that it looked like a pair of eyes.  Yet photo shows the three round lights across on each.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 1/28/2017 22:30  (Entered as : 01/28/17 22:30)<BR>Reported: 1/30/2017 10:41:23 AM 10:41<BR>Posted: 2/3/2017<BR>Location: Boca Raton, FL<BR>Shape: Light<BR>Duration:15 minutes</FONT></TD>'","b""COLOR=#000000>Lights rise in groups of 3 or 4 from coastal horizon into sky<BR><BR>This past Saturday night around 10:30PM, my wife and I were on our porch and noticed some odd lights on the horizon.  We saw a total of about 10 over about a 20 minute time span.  They rose up from the horizon to the NE in groups of 3 or 4, perhaps around the Delray Beach area.  They slowly traveled South rising upward along the coast and disappeared into the low cloud cover just about due East of our house.  They flew quite close together and were too bright to be drones.  They didn\\'t have flashing lights like standard aircraft, but more of a steady orange glow.  They may have been far enough away to be over the ocean, but that still doesn\\'t explain what manner of craft they were.<BR><BR>Planes don\\'t take off and group like that and I don\\'t know of an airport North of the Boca Raton one nearer than the somewhat distant Palm Beach International.  If anyone else saw them or has an idea of what they might be, I\\'d love to hear about it.  Here is a photo of a group of 4 facing East NE with the rightmost one about to disappear into the clouds.</FONT></TD>"""
